"","X1","X2"
"1","2L","11504423"
"2","2L","11689836"
"3","2L","12929370"
"4","2L","14881894"
"5","2L","14975235"
"6","2L","15360396"
"7","2L","17847259"
"8","2L","23649996"
"9","2L","35095543"
"10","2L","36774398"
"11","2L","37416917"
"12","2L","40555644"
"13","2L","4470050"
"14","2L","46797137"
"15","2L","8858979"
"16","2L","9235345"
"17","2R","19312305"
"18","2R","19321187"
"19","2R","19526439"
"20","2R","19600137"
"21","2R","19695476"
"22","2R","20047253"
"23","2R","20203129"
"24","2R","20262998"
"25","2R","20347477"
"26","2R","20391581"
"27","2R","20425892"
"28","2R","20441086"
"29","2R","20858551"
"30","2R","21246778"
"31","2R","21316682"
"32","2R","22190945"
"33","2R","22830355"
"34","2R","23508058"
"35","2R","23511552"
"36","2R","23576601"
"37","2R","23700193"
"38","2R","23700203"
"39","2R","23879192"
"40","2R","24366360"
"41","2R","24437878"
"42","2R","24493765"
"43","2R","24516400"
"44","2R","24516401"
"45","2R","24932264"
"46","2R","25458029"
"47","2R","25587137"
"48","2R","25890947"
"49","2R","25911312"
"50","2R","25915476"
"51","2R","25939288"
"52","2R","28807360"
"53","2R","29844738"
"54","2R","31081065"
"55","2R","47411924"
"56","2R","47495899"
"57","2R","49048177"
"58","2R","55585287"
"59","2R","55879029"
"60","3L","10251522"
"61","3L","10472725"
"62","3L","10768720"
"63","3L","10946306"
"64","3L","11241508"
"65","3L","11587329"
"66","3L","11680614"
"67","3L","11683978"
"68","3L","11918115"
"69","3L","12185593"
"70","3L","12200842"
"71","3L","12396071"
"72","3L","12438734"
"73","3L","12678219"
"74","3L","12814991"
"75","3L","13072909"
"76","3L","13172516"
"77","3L","13188635"
"78","3L","13189384"
"79","3L","13189613"
"80","3L","13325886"
"81","3L","14088625"
"82","3L","14588636"
"83","3L","15090219"
"84","3L","15102072"
"85","3L","15103387"
"86","3L","15119439"
"87","3L","15367604"
"88","3L","15376285"
"89","3L","15395085"
"90","3L","16043475"
"91","3L","16243021"
"92","3L","17222982"
"93","3L","17316782"
"94","3L","17837171"
"95","3L","18212755"
"96","3L","18213093"
"97","3L","18262249"
"98","3L","18912201"
"99","3L","19245707"
"100","3L","19246115"
"101","3L","19511898"
"102","3L","19531811"
"103","3L","19648941"
"104","3L","19959779"
"105","3L","20583745"
"106","3L","20914822"
"107","3L","21066300"
"108","3L","21696628"
"109","3L","22197522"
"110","3L","22197545"
"111","3L","22417393"
"112","3L","22420714"
"113","3L","22843935"
"114","3L","23481747"
"115","3L","23971453"
"116","3L","24021752"
"117","3L","2435316"
"118","3L","24601307"
"119","3L","24962874"
"120","3L","25194662"
"121","3L","25239151"
"122","3L","2644834"
"123","3L","27211600"
"124","3L","27215407"
"125","3L","27217985"
"126","3L","27677468"
"127","3L","28196016"
"128","3L","28487215"
"129","3L","29005208"
"130","3L","29253708"
"131","3L","29331778"
"132","3L","29383431"
"133","3L","29445362"
"134","3L","29530180"
"135","3L","29619817"
"136","3L","2979703"
"137","3L","30487703"
"138","3L","30621185"
"139","3L","30788917"
"140","3L","30811825"
"141","3L","31683271"
"142","3L","31898369"
"143","3L","31963699"
"144","3L","32209395"
"145","3L","32633865"
"146","3L","32831197"
"147","3L","33362362"
"148","3L","33547295"
"149","3L","33621106"
"150","3L","34606304"
"151","3L","35564169"
"152","3L","35909518"
"153","3L","35923363"
"154","3L","35937382"
"155","3L","35995673"
"156","3L","36039657"
"157","3L","3686385"
"158","3L","37029090"
"159","3L","37157863"
"160","3L","37707355"
"161","3L","37844359"
"162","3L","38086789"
"163","3L","38109090"
"164","3L","38300507"
"165","3L","38303265"
"166","3L","38824078"
"167","3L","38953416"
"168","3L","38953420"
"169","3L","39431803"
"170","3L","39456713"
"171","3L","39684012"
"172","3L","39921465"
"173","3L","40048536"
"174","3L","40264039"
"175","3L","40890780"
"176","3L","41513782"
"177","3L","4787675"
"178","3L","5987390"
"179","3L","6727969"
"180","3L","9128333"
"181","3L","9131504"
"182","3L","9378702"
"183","3R","10525503"
"184","3R","12387684"
"185","3R","1251023"
"186","3R","1359599"
"187","3R","14870901"
"188","3R","15013921"
"189","3R","1533034"
"190","3R","1542800"
"191","3R","15941396"
"192","3R","16019162"
"193","3R","18601297"
"194","3R","19139030"
"195","3R","1915565"
"196","3R","19902334"
"197","3R","20134301"
"198","3R","20158520"
"199","3R","228762"
"200","3R","23233671"
"201","3R","24426250"
"202","3R","25528171"
"203","3R","25846245"
"204","3R","2621835"
"205","3R","27069475"
"206","3R","27436246"
"207","3R","27553100"
"208","3R","28644249"
"209","3R","30266472"
"210","3R","30500891"
"211","3R","31126571"
"212","3R","31231680"
"213","3R","31590717"
"214","3R","32270383"
"215","3R","32760447"
"216","3R","32881480"
"217","3R","34192024"
"218","3R","34343501"
"219","3R","34692255"
"220","3R","36086139"
"221","3R","37814845"
"222","3R","37940968"
"223","3R","39981973"
"224","3R","41156417"
"225","3R","41270854"
"226","3R","41270864"
"227","3R","42252394"
"228","3R","42272287"
"229","3R","42415467"
"230","3R","42563133"
"231","3R","42576542"
"232","3R","42755577"
"233","3R","43250142"
"234","3R","43252526"
"235","3R","43327094"
"236","3R","43503726"
"237","3R","43528329"
"238","3R","44740652"
"239","3R","44923580"
"240","3R","45131443"
"241","3R","45133454"
"242","3R","45340459"
"243","3R","45341251"
"244","3R","45341257"
"245","3R","45388044"
"246","3R","45652585"
"247","3R","45828542"
"248","3R","47976180"
"249","3R","4867932"
"250","3R","49113373"
"251","3R","49705229"
"252","3R","49957594"
"253","3R","50773024"
"254","3R","51466286"
"255","3R","5159682"
"256","3R","5179216"
"257","3R","534883"
"258","3R","5900899"
"259","3R","6305009"
"260","3R","6974738"
"261","3R","841923"
"262","3R","965443"
"263","X","11279324"
"264","X","11925819"
"265","X","12035795"
"266","X","12478240"
"267","X","1256410"
"268","X","13083770"
"269","X","13403060"
"270","X","14408941"
"271","X","14652478"
"272","X","14796343"
"273","X","14941614"
"274","X","15294832"
"275","X","15296801"
"276","X","15309784"
"277","X","15330461"
"278","X","15384244"
"279","X","154862"
"280","X","16773589"
"281","X","16865814"
"282","X","16950049"
"283","X","17416641"
"284","X","18865687"
"285","X","19387672"
"286","X","19446835"
"287","X","2514610"
"288","X","2756520"
"289","X","500610"
"290","X","7308922"
"291","X","80364"
"292","X","8577796"
"293","X","9563735"
"294","X","9989616"
"295","X","999106"
